sample,cuda_ms,wall_ms,kind,phase,group,layout,host,weight_bytes,pinned_source_live_bytes,q,past,batch,semantic
111,0.1388159990310669,0.1476658508181572,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
112,0.1257600039243698,0.13545528054237366,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
113,0.12364800274372101,0.13249274343252182,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
114,0.12326399981975555,0.13185106217861176,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
115,0.1244800016283989,0.1329490914940834,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
116,0.12537600100040436,0.13386597856879234,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
117,0.12518399953842163,0.1337430439889431,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
118,0.12905600666999817,0.13797497376799583,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
119,0.1534080058336258,0.16110297292470932,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
120,0.12329600006341934,0.13184500858187675,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
121,0.1233920007944107,0.13209832832217216,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
122,0.13279999792575836,0.1415587030351162,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
123,0.12569600343704224,0.1344890333712101,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
124,0.12495999783277512,0.13349857181310654,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
125,0.12265600264072418,0.13112323358654976,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
126,0.12540799379348755,0.1340806484222412,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
127,0.12432000041007996,0.13298587873578072,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
128,0.12323199957609177,0.1318119466304779,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
129,0.12438400089740753,0.13302918523550034,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
130,0.12588800489902496,0.13425666838884354,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
131,0.1244800016283989,0.13315165415406227,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
132,0.12495999783277512,0.13332394883036613,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
133,0.12544000148773193,0.13411790132522583,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
134,0.12428800016641617,0.1328401267528534,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
135,0.12275200337171555,0.13139517977833748,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
136,0.12406399846076965,0.13239821419119835,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
137,0.12547199428081512,0.13372022658586502,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
138,0.12537600100040436,0.13375701382756233,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
139,0.12323199957609177,0.1315898261964321,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
140,0.12521600723266602,0.13357680290937424,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
141,0.12467200309038162,0.13322103768587112,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
142,0.12422399967908859,0.13272417709231377,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
143,0.12383999675512314,0.13227201998233795,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
144,0.12489599734544754,0.13324012979865074,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
145,0.12540799379348755,0.13378402218222618,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
146,0.12479999661445618,0.13328297063708305,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
147,0.12323199957609177,0.13169320300221443,measured,compute,1,,,14175744,,16,0,1,short_prefill_proxy
