node,model,dtype,blocks,first_layer,batch,query_len,past_len,semantic,weight_bytes,pinned_weight_live_bytes,two_weight_slots_bytes,h2d_cuda_p50_ms,h2d_wall_p50_ms,compute_cuda_p50_ms,compute_wall_p50_ms,h2d_GBps,copy_slowdown,compute_slowdown,overlap_speedup,gpu_allocated_peak_bytes,gpu_reserved_peak_bytes,rss_sampled_peak_bytes
A,facebook/opt-125m,float16,8,0,4,256,0,short_prefill_proxy,113405952,113405952,226811904,8.914719581604004,8.931046817451715,4.771023988723755,4.782072035595775,12.72120238465147,1.0065438130050608,1.0046782477247032,1.525618360784273,384822784,799014912,2329538560
A,facebook/opt-125m,float16,8,0,1,1,32,decode_real_history,113405952,113405952,226811904,8.914719581604004,8.931046817451715,0.8578560054302216,0.8675060234963894,12.72120238465147,1.004436784380773,1.0393912135301908,1.0890789723011995,341179904,799014912,2329538560
A,facebook/opt-125m,float16,8,0,4,1,32,decode_real_history,113405952,113405952,226811904,8.914719581604004,8.931046817451715,0.8903840184211731,0.9001039434224367,12.72120238465147,1.004601850646374,1.0040432007545772,1.0804024515164983,344935424,799014912,2329538560
A,facebook/opt-125m,float16,8,0,1,1,256,decode_real_history,113405952,113405952,226811904,8.914719581604004,8.931046817451715,0.8640639781951904,0.8736676536500454,12.72120238465147,1.0044331471461454,1.0399229804972039,1.0907534515951829,592648192,826277888,2329538560
A,facebook/opt-125m,float16,8,0,4,1,256,decode_real_history,113405952,113405952,226811904,8.914719581604004,8.931046817451715,0.881600022315979,0.891334842890501,12.72120238465147,1.0046629347926204,1.0534663656325685,1.089706660352482,394441728,826277888,2329538560
B,facebook/opt-125m,float16,1,0,1,16,0,short_prefill_proxy,14175744,14175744,28351488,0.6008639931678772,0.6084890337660909,0.12212799862027168,0.13069109991192818,23.592267403580955,1.0063375765376346,1.0546312571711032,1.129234439928103,46947840,81788928,1921765376
B,facebook/opt-125m,float16,1,0,4,16,0,short_prefill_proxy,14175744,14175744,28351488,0.6008639931678772,0.6084890337660909,0.14326399564743042,0.15196565072983503,23.592267403580955,1.0069233420875772,1.0660040310854142,1.1691953038426914,47685120,83886080,1921765376
B,facebook/opt-125m,float16,1,0,1,32,0,short_prefill_proxy,14175744,14175744,28351488,0.6008639931678772,0.6084890337660909,0.12425599992275238,0.13278191909193993,23.592267403580955,1.0066570940374424,1.069662652801481,1.1447103677687005,47193600,83886080,1921765376
B,facebook/opt-125m,float16,1,0,4,32,0,short_prefill_proxy,14175744,14175744,28351488,0.6008639931678772,0.6084890337660909,0.17238399386405945,0.18092896789312363,23.592267403580955,1.0069233420875772,1.0729534025777254,1.244501080618195,48668160,83886080,1921765376
B,facebook/opt-125m,float16,1,0,1,64,0,short_prefill_proxy,14175744,14175744,28351488,0.6008639931678772,0.6084890337660909,0.13315199315547943,0.14178396668285131,23.592267403580955,1.0062310376382886,1.076303826491529,1.1662957154727378,47685120,83886080,1921765376
B,facebook/opt-125m,float16,1,0,4,64,0,short_prefill_proxy,14175744,14175744,28351488,0.6008639931678772,0.6084890337660909,0.19622400403022766,0.20452099852263927,23.592267403580955,1.007296129037058,1.0437051054914162,1.3076723748980696,50634240,85983232,1921765376
B,facebook/opt-125m,float16,1,0,1,128,0,short_prefill_proxy,14175744,14175744,28351488,0.6008639931678772,0.6084890337660909,0.16313600540161133,0.17164647579193115,23.592267403580955,1.0070298809869231,1.091604560228691,1.2315231331666538,87997952,134217728,1925156864
B,facebook/opt-125m,float16,1,0,4,128,0,short_prefill_proxy,14175744,14175744,28351488,0.6008639931678772,0.6084890337660909,0.36473599076271057,0.373312970623374,23.592267403580955,1.0084145890837308,1.036497664870778,1.5834667044842705,63169024,136314880,1925156864
B,facebook/opt-125m,float16,1,0,1,256,0,short_prefill_proxy,14175744,14175744,28351488,0.6008639931678772,0.6084890337660909,0.19582399725914001,0.2044035354629159,23.592267403580955,1.0066038245877693,1.0462456186595073,1.3140978577942473,60073472,136314880,1925156864
B,facebook/opt-125m,float16,1,0,4,256,0,short_prefill_proxy,14175744,14175744,28351488,0.6008639931678772,0.6084890337660909,0.5960959792137146,0.604904955253005,23.592267403580955,1.0109176580289807,1.007086111144164,1.8255760864598183,76655104,157286400,1925156864
B,facebook/opt-125m,float16,1,0,1,1,32,decode_real_history,14175744,14175744,28351488,0.6008639931678772,0.6084890337660909,0.11379200220108032,0.12243096716701984,23.592267403580955,1.004793060091808,1.121203603453541,1.1545334566767504,55666176,157286400,1925156864
B,facebook/opt-125m,float16,1,0,4,1,32,decode_real_history,14175744,14175744,28351488,0.6008639931678772,0.6084890337660909,0.11740799993276596,0.126164173707366,23.592267403580955,1.0053256553903078,1.0367947933255215,1.1065590212141816,56997888,157286400,1925156864
