direction,q,side,policy,phase,n,activation_p50_ms,activation_p95_ms,sender_finite_work_complete_ms,sender_post_activation_weight_wait_ms,sender_weight_work_ms,sender_subsequent_compute_cuda_ms,sender_local_activation_arrival_ms,sender_activation_event_prepare_ms,sender_activation_copy_call_ms,sender_activation_post_call_submit_ms,sender_activation_completion_wait_ms,sender_activation_cuda_ms,sender_weight_bytes,sender_weight_GBps,receiver_finite_work_complete_ms,receiver_post_activation_weight_wait_ms,receiver_weight_work_ms,receiver_subsequent_compute_cuda_ms,receiver_local_activation_arrival_ms,receiver_activation_event_prepare_ms,receiver_activation_copy_call_ms,receiver_activation_post_call_submit_ms,receiver_activation_completion_wait_ms,receiver_activation_cuda_ms,receiver_weight_bytes,receiver_weight_GBps,activation_ratio_vs_bulk,sender_finite_work_ratio_vs_bulk,sender_weight_bandwidth_ratio_vs_bulk,receiver_finite_work_ratio_vs_bulk,receiver_weight_bandwidth_ratio_vs_bulk
A-B,128,receiver,window2,jitter,10,2.705139398574829,3.4378892898559563,8.155317306518555,0.0008418560028076172,0.0,1.205136001110077,4.011789560317993,0.19165682792663574,0.05862832069396973,0.03353619575500488,0.011109590530395508,0.09134399890899658,0,,9.82448947429657,2.4892204999923706,8.869544506072998,0.6328800022602081,6.257829546928406,0.04829549789428711,0.014986991882324219,0.011714696884155273,0.14864957332611084,0.022656000219285488,201433088,22.710646286740335,0.9167818888224166,0.7757196142252046,,1.042222604334665,0.9534253938891847
A-B,128,receiver,priority,zero,10,2.759263753890991,2.899286961555481,4.514551401138306,0.0008893013000488281,0.0,1.2249760031700134,0.40592050552368164,0.17632293701171875,0.0544896125793457,0.032349586486816406,0.01123356819152832,0.0867839977145195,0,,10.310325384140015,6.872735023498535,9.526669979095459,0.5185119807720184,2.5943593978881836,0.03670239448547363,0.012257695198059082,0.007246255874633789,0.2555810213088989,0.021856000646948814,201433088,21.14412367394697,0.3243117421443341,0.4405284731473861,,1.1299705039830714,0.8867665731462463
A-B,128,receiver,priority,delay2,10,2.6309640407562256,2.7156370639801026,6.434520483016968,0.0008890628814697266,0.0,1.21697598695755,2.4738197326660156,0.19872450828552246,0.05695080757141113,0.03423142433166504,0.011662006378173828,0.08983999863266945,0,,10.158407926559448,4.779026031494141,9.473457098007202,0.4992159903049469,4.723106622695923,0.03572797775268555,0.011910438537597656,0.006835579872131348,0.047301411628723145,0.02214400004595518,201433088,21.262906212393933,0.4124354155428473,0.6275550641458277,,1.1093472970005696,0.8929483506455651
A-B,128,receiver,priority,jitter,10,2.6568007469177246,2.8934019565582276,7.343322038650513,0.0008461475372314453,0.0,1.225823998451233,3.5231168270111084,0.173140287399292,0.057131052017211914,0.03294086456298828,0.010934114456176758,0.08873600140213966,0,,10.129512548446655,3.7657971382141113,9.463779211044312,0.49376000463962555,5.629846572875977,0.035781145095825195,0.01137089729309082,0.006551027297973633,0.20248496532440186,0.02175999991595745,201433088,21.284635612729414,0.9003997384634826,0.6984840349988973,,1.0745807175531261,0.8935594274436217
A-B,128,both,bulk,zero,10,8.399580955505371,8.568496537208556,16.872204303741455,7.177637815475464,15.829378604888916,0.7869600057601929,0.46620607376098633,0.04451894760131836,0.013441085815429688,0.008198976516723633,0.06151890754699707,0.05724800005555153,201433088,12.725268684075507,9.170780420303345,0.0014379024505615234,8.456969022750854,0.49270400404930115,2.400065541267395,0.0367509126663208,0.011914730072021484,0.006487727165222168,6.1654393672943115,0.022064000368118286,201433088,23.81859358935735,1.0,1.0,1.0,1.0,1.0
A-B,128,both,bulk,delay2,10,6.394360065460205,6.543607234954834,16.773271799087524,7.286234378814697,15.843776226043701,0.5743840038776398,2.4771149158477783,0.04060029983520508,0.011992692947387695,0.007097005844116211,0.06320714950561523,0.055344000458717346,201433088,12.71370509227527,9.168551921844482,0.001365065574645996,8.45602285861969,0.5001759976148605,4.351231575012207,0.03834366798400879,0.012270569801330566,0.006729483604431152,4.218476057052612,0.02167999930679798,201433088,23.82125694972504,1.0,1.0,1.0,1.0,1.0
A-B,128,both,bulk,jitter,10,4.11126184463501,6.12621386051178,16.566908836364746,7.076754808425903,15.816913843154907,0.5117439925670624,4.8072545528411865,0.04114961624145508,0.012261152267456055,0.007272243499755859,0.06303191184997559,0.05567999929189682,201433088,12.735302017474485,9.170159935951233,0.0017856359481811523,8.455169439315796,0.4872799962759018,6.6269625425338745,0.042724013328552246,0.01327502727508545,0.00745081901550293,1.906406044960022,0.022624000906944275,201433088,23.823660718791054,1.0,1.0,1.0,1.0,1.0
A-B,128,both,chunk,zero,10,2.382344961166382,2.554824638366699,17.63396430015564,14.286437511444092,16.734885454177856,0.5569439828395844,0.39909791946411133,0.037378549575805664,0.011526823043823242,0.0067479610443115234,0.06397747993469238,0.05502399988472462,201433088,12.036717467939553,10.228938460350037,7.238865256309509,9.458051919937134,0.5064319968223572,2.197043538093567,0.046170949935913086,0.01264047622680664,0.012524008750915527,0.14060068130493164,0.022352000698447227,201433088,21.297652878585687,0.2836266444464604,1.0451488129648396,0.9458910272757061,1.1153836414733056,0.8941608075508677
A-B,128,both,chunk,delay2,10,2.3123791217803955,2.5524911403656008,17.608896493911743,12.211015701293945,16.743345260620117,0.6142559945583344,2.4875576496124268,0.049402475357055664,0.012429475784301758,0.009270906448364258,0.06307125091552734,0.05579200014472008,201433088,12.0306357474668,10.160732388496399,5.115060448646545,9.43814206123352,0.5156800150871277,4.309928894042969,0.03651905059814453,0.01214742660522461,0.006657600402832031,0.12864959239959717,0.022271999157965183,201433088,21.34245998473191,0.3616279186827388,1.049818825142372,0.9462729912444252,1.108215613011691,0.8959418065039704
A-B,128,both,chunk,jitter,10,2.2993695735931396,2.4892340898513794,17.5734965801239,9.644896745681763,16.75747847557068,0.5141920149326324,5.261849403381348,0.04165172576904297,0.012333393096923828,0.007537126541137695,0.06277894973754883,0.056304000318050385,201433088,12.020489187717093,10.175414085388184,3.1260831356048584,9.47140884399414,0.5157119929790497,6.3879554271698,0.03614997863769531,0.011527538299560547,0.006585478782653809,0.09475517272949219,0.022272000089287758,201433088,21.267489967309526,0.5592856063385263,1.0607589353995641,0.9438715447206061,1.1096223137282364,0.8927045351403392
