run,direction,case,model,batch,q,hidden,mode,bytes,dtype,sample,phase,e2e_ack_ms,d2h_cuda_ms,d2h_host_ms,h2d_cuda_ms,h2d_host_ms,network_host_ack_residual_ms,receiver_receive_host_ms,correct,sender_origin,receiver_origin,sender_completion_relative_ms,receiver_staging_start_relative_ms,receiver_completion_relative_ms
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,2,opt-125m,1,1,768,gpu_h2d,1536,float16,15,steady,0.7075319290161133,0.015200000256299973,0.1540217399597168,0.001408000010997057,0.2671780586242676,0.2863321304321289,0.362900972366333,True,local before background launch and D2H,local after ready ACK,0.7075319290161133,0.39467787742614746,0.6925089359283447
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,2,opt-125m,1,1,768,gpu_h2d,1536,float16,16,steady,0.6941032409667969,0.01484800036996603,0.03787565231323242,0.0013760000001639128,0.277451753616333,0.37877583503723145,0.3487679958343506,True,local before background launch and D2H,local after ready ACK,0.6941032409667969,0.37444067001342773,0.6803538799285889
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,2,opt-125m,1,1,768,gpu_h2d,1536,float16,17,steady,0.6996526718139648,0.014655999839305878,0.03741931915283203,0.0013760000001639128,0.38276004791259766,0.27947330474853516,0.24564290046691895,True,local before background launch and D2H,local after ready ACK,0.6996526718139648,0.27685093879699707,0.6869239807128906
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,2,opt-125m,1,1,768,gpu_h2d,1536,float16,18,steady,0.6762819290161133,0.009664000011980534,0.030848979949951172,0.0015040000434964895,0.4438021183013916,0.2016308307647705,0.18119382858276367,True,local before background launch and D2H,local after ready ACK,0.6762819290161133,0.20736122131347656,0.6617999076843262
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,2,opt-125m,1,1,768,gpu_h2d,1536,float16,19,steady,0.7002773284912109,0.008511999621987343,0.027078628540039062,0.001408000010997057,0.458172082901001,0.2150266170501709,0.16593384742736816,True,local before background launch and D2H,local after ready ACK,0.7002773284912109,0.19791913032531738,0.6839239597320557
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,2,opt-125m,1,1,768,gpu_h2d,1536,float16,20,steady,0.6810903549194336,0.0077760000713169575,0.025535106658935547,0.001567999948747456,0.46594786643981934,0.1896073818206787,0.15755701065063477,True,local before background launch and D2H,local after ready ACK,0.6810903549194336,0.18866610527038574,0.665351152420044
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,2,opt-125m,1,1,768,gpu_h2d,1536,float16,21,steady,0.674278736114502,0.007903999648988247,0.02527761459350586,0.0013760000001639128,0.4579000473022461,0.19110107421875,0.16431307792663574,True,local before background launch and D2H,local after ready ACK,0.674278736114502,0.19033598899841309,0.659588098526001
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,2,opt-125m,1,1,768,gpu_h2d,1536,float16,22,steady,0.6857872009277344,0.008352000266313553,0.026037216186523438,0.0015360000543296337,0.4711019992828369,0.18864798545837402,0.15598297119140625,True,local before background launch and D2H,local after ready ACK,0.6857872009277344,0.18767976760864258,0.670198917388916
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,2,opt-125m,1,1,768,gpu_h2d,1536,float16,23,steady,0.6674532890319824,0.007679999805986881,0.025164127349853516,0.0014400000218302011,0.5155620574951172,0.12672710418701172,0.11263298988342285,True,local before background launch and D2H,local after ready ACK,0.6674532890319824,0.13829994201660156,0.6587009429931641
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,3,opt-125m,1,1,768,gpu_compute,1536,float16,0,first_transfer,0.42643117904663086,0.016287999227643013,0.04111194610595703,0.01711999997496605,0.05794095993041992,0.3273782730102539,0.4713320732116699,True,local before background launch and D2H,local after ready ACK,0.42643117904663086,0.5253849029541016,0.591987133026123
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,3,opt-125m,1,1,768,gpu_compute,1536,float16,1,warmup,0.5484910011291504,0.11932799965143204,0.17166852951049805,0.018400000408291817,0.06991791725158691,0.30690455436706543,0.44800686836242676,True,local before background launch and D2H,local after ready ACK,0.5484910011291504,0.4807140827178955,0.5616819858551025
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,3,opt-125m,1,1,768,gpu_compute,1536,float16,2,warmup,0.45973873138427734,0.06726399809122086,0.13978958129882812,0.017184000462293625,0.05792975425720215,0.26201939582824707,0.3403208255767822,True,local before background launch and D2H,local after ready ACK,0.45973873138427734,0.37343311309814453,0.43999290466308594
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,3,opt-125m,1,1,768,gpu_compute,1536,float16,3,warmup,0.3060421943664551,0.03404799848794937,0.1040191650390625,0.009535999968647957,0.029918909072875977,0.1721041202545166,0.23859095573425293,True,local before background launch and D2H,local after ready ACK,0.3060421943664551,0.25487208366394043,0.2886791229248047
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,3,opt-125m,1,1,768,gpu_compute,1536,float16,4,steady,0.33194446563720703,0.03526400029659271,0.10494804382324219,0.015168000012636185,0.05338907241821289,0.17360734939575195,0.2637202739715576,True,local before background launch and D2H,local after ready ACK,0.33194446563720703,0.276231050491333,0.334028959274292
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,3,opt-125m,1,1,768,gpu_compute,1536,float16,5,steady,0.3062858581542969,0.02521600015461445,0.1009664535522461,0.011872000060975552,0.032958984375,0.17236042022705078,0.24563097953796387,True,local before background launch and D2H,local after ready ACK,0.3062858581542969,0.2589249610900879,0.29605984687805176
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,3,opt-125m,1,1,768,gpu_compute,1536,float16,6,steady,0.3012094497680664,0.03331200033426285,0.10162162780761719,0.009631999768316746,0.030436992645263672,0.16915082931518555,0.24009108543395996,True,local before background launch and D2H,local after ready ACK,0.3012094497680664,0.2528390884399414,0.29044318199157715
